"type","count_1","rate_1","count_2","rate_2","count_3","rate_3","count_4","rate_4","count_5","rate_5","count_6","rate_6","count_7","rate_7","count_8","rate_8","count_9","rate_9","count_10","rate_10","count_11","rate_11","count_12","rate_12","count_13","rate_13","count_14","rate_14","count_15","rate_15","count_16","rate_16"
"CU_1","0","0","0","0","523","0.0299850934525857","837","0.0479876160990712","581","0.0389436289295529","225","0.0245660006550934","72","0.0236065573770492","33","0.0290492957746479","6","0.0135746606334842","4","0.0266666666666667","4","0.0597014925373134","1","0.0416666666666667","0","0","0","0","0","0","0","0"
"CH_1","0","0","0","0","404","0.0231624813668157","858","0.0491916064671483","738","0.049467122461291","289","0.0315536630636532","125","0.040983606557377","37","0.0325704225352113","15","0.0339366515837104","5","0.0333333333333333","2","0.0298507462686567","2","0.0833333333333333","0","0","0","0","0","0","0","0"
"KC_0","504","0.0288957688338493","488","0.027978442839124","366","0.020983832129343","295","0.0169131980277491","354","0.0237281319123266","252","0.0275139207337046","75","0.0245901639344262","31","0.0272887323943662","4","0.00904977375565611","2","0.0133333333333333","0","0","1","0.0416666666666667","0","0","0","0","0","0","0","0"
"FC_1","0","0","0","0","320","0.0183465198945075","495","0.0283797729618163","378","0.0253368188216368","133","0.0145212359427885","66","0.0216393442622951","25","0.0220070422535211","12","0.0271493212669683","6","0.04","3","0.0447761194029851","2","0.0833333333333333","1","0.125","0","0","0","0","0","0"
"FS_0","202","0.0115812406834079","363","0.020811833505332","289","0.0165692007797271","268","0.01536521041165","269","0.0180306991085193","238","0.0259853695818321","82","0.0268852459016393","25","0.0220070422535211","11","0.0248868778280543","5","0.0333333333333333","2","0.0298507462686567","0","0","1","0.125","0","0","0","0","0","0"
"KC_1","0","0","0","0","189","0.0108359133126935","280","0.0160532049076941","175","0.0117300087137208","60","0.00655093350802489","28","0.00918032786885246","3","0.00264084507042254","1","0.00226244343891403","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"FS_1","0","0","0","0","132","0.00756793945648435","241","0.013817222795551","183","0.0122662376834909","71","0.00775193798449612","34","0.0111475409836066","10","0.00880281690140845","4","0.00904977375565611","1","0.00666666666666667","1","0.0149253731343284","0","0","0","0","0","0","0","0","0","0"
"ST_0","133","0.00762527233115468","137","0.00785460382983603","117","0.00670794633642931","102","0.00584795321637427","98","0.00656880487968362","64","0.00698766240855989","26","0.00852459016393443","9","0.00792253521126761","6","0.0135746606334842","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ST_1","0","0","0","0","70","0.00401330122692352","99","0.00567595459236326","59","0.00395468865205443","25","0.00272955562834371","11","0.00360655737704918","2","0.00176056338028169","0","0","1","0.00666666666666667","0","0","0","0","0","0","0","0","0","0","0","0"
"KN_0","39","0.0022359821121431","52","0.00298130948285747","31","0.00177731911478042","20","0.00114665749340672","27","0.00180977277297406","18","0.00196528005240747","5","0.00163934426229508","1","0.000880281690140845","1","0.00226244343891403","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"SV_0","31","0.00177731911478042","22","0.00126132324274739","21","0.00120399036807706","13","0.000745327370714368","15","0.00100542931831892","12","0.00131018670160498","1","0.000327868852459016","2","0.00176056338028169","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
